"","y12b224","y12b225","w12edu","sampid","y12g101","y12a034","y12a065","y12a080","y12b308","y12b156z","y12b161","w12type","y12f310","y12g500","y12b22","y12g7"
"111",NA,NA,4,375,2,NA,NA,NA,NA,NA,NA,6,1,2,NA,3000
"112",1,3000,4,385,1,NA,NA,NA,1,0,1,5,1,2,45,3000
"113",NA,NA,4,386,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3600
"114",1,8000,4,387,1,NA,NA,NA,1,8,1,5,1,2,40,5000
"115",2,200,4,389,1,NA,NA,NA,1,4,1,5,1,2,60,3000
"116",2,200,4,390,1,NA,NA,NA,1,0,1,5,1,2,48,3000
"117",2,300,4,391,1,NA,NA,NA,1,0,1,5,1,2,40,4000
"118",1,3600,4,396,1,NA,NA,NA,1,0,1,5,2,2,58,3000
"119",1,4800,4,405,2,NA,NA,NA,1,3,1,5,2,1,41,5000
"120",1,3000,4,410,1,NA,NA,NA,1,0,1,5,2,2,40,3000
"121",1,3100,4,411,1,NA,NA,NA,1,0,1,5,4,2,40,3000
"122",2,200,4,414,1,NA,NA,NA,1,2,1,5,2,2,40,2400
"123",1,3200,5,416,2,NA,NA,NA,1,2,1,5,2,1,40,3000
"124",NA,NA,4,419,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3600
"125",1,3000,4,421,1,NA,NA,NA,1,0,1,5,2,2,40,3000
"126",1,4000,4,422,1,NA,NA,NA,1,1,1,5,2,2,40,3000
"127",NA,NA,4,424,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3600
"128",1,2400,4,425,1,NA,NA,NA,1,4,1,5,2,2,40,2400
"129",1,3000,4,426,1,NA,NA,NA,1,2,1,5,2,2,40,3000
"130",NA,NA,4,429,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2400
"131",1,2400,5,442,1,NA,NA,NA,1,3,1,5,2,2,40,2400
"132",1,4000,4,445,1,NA,NA,NA,1,0,1,5,2,2,40,3600
"133",1,1700,4,450,1,NA,NA,NA,1,0,1,5,2,2,40,2000
"134",1,4800,4,458,2,NA,NA,NA,1,1,1,5,4,1,40,4000
"135",1,4000,4,459,1,NA,NA,NA,1,3,1,5,2,2,40,4000
"136",2,180,4,462,1,NA,NA,NA,1,4,1,5,2,2,40,2400
"137",2,9090908,4,470,2,NA,NA,NA,NA,6,5,5,2,1,45,5000
"138",1,3300,4,472,1,NA,NA,NA,1,4,1,5,2,2,44,3800
"139",2,9090908,4,473,1,NA,NA,NA,1,5,1,5,2,2,40,5000
"140",2,300,4,474,2,NA,NA,NA,1,0,1,5,1,1,51,4000
"141",1,2000,4,478,1,NA,NA,NA,2,1,2,5,2,2,45,2000
"142",1,2100,4,479,1,NA,NA,NA,1,0,1,5,4,2,46,2600
"143",1,3200,4,482,1,NA,NA,NA,1,0,1,5,2,2,38,3000
"144",1,5000,4,483,2,NA,NA,NA,1,0,1,5,2,2,43,5000
"145",NA,NA,5,491,2,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"146",2,9090908,4,493,2,NA,NA,NA,NA,1,5,5,2,1,45,10000
"147",2,9090908,4,494,2,NA,NA,NA,NA,5,5,5,2,2,60,3500
"148",NA,NA,4,495,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,3500
"149",9090908,9090908,4,496,2,NA,NA,NA,1,2,1,5,2,1,40,4000
"150",9090908,9090908,5,497,2,NA,NA,NA,1,3,1,5,2,1,40,4000
"151",1,5000,4,498,2,NA,NA,NA,1,0,1,5,2,1,44,5000
"152",9090908,9090908,5,503,2,NA,NA,NA,1,1,1,5,3,1,42,5000
"153",2,9090908,4,509,1,NA,NA,NA,1,6,1,5,2,2,51,4000
"154",1,5500,4,512,1,NA,NA,NA,1,1,1,5,2,2,45,4000
"155",NA,NA,4,515,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"156",NA,NA,4,516,2,NA,NA,NA,NA,NA,NA,6,1,1,NA,3500
"157",2,300,5,517,1,NA,NA,NA,1,1,1,5,2,2,40,4000
"158",NA,NA,4,518,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3500
"159",2,9090909,4,521,1,NA,NA,NA,NA,8,5,5,2,2,49,5000
"160",1,2800,4,523,1,NA,NA,NA,1,1,1,5,3,2,45,2800
"161",1,3500,4,527,1,NA,NA,NA,1,0,1,5,3,2,43,3000
"162",1,4000,4,529,2,NA,NA,NA,2,6,1,5,2,1,55,3600
"163",2,350,4,530,1,NA,NA,NA,1,1,1,5,2,2,45,3600
"164",NA,NA,4,531,1,NA,NA,NA,NA,NA,NA,6,3,2,NA,3000
"165",NA,NA,NA,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",1,8600,4,537,2,NA,NA,NA,1,0,1,5,3,1,44,6000
"167",NA,NA,4,538,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2400
"168",NA,NA,4,539,2,NA,NA,NA,NA,NA,NA,6,2,2,NA,2800
"169",NA,NA,4,540,1,NA,NA,NA,NA,NA,NA,6,3,2,NA,2400
"170",NA,NA,4,542,2,NA,NA,NA,NA,NA,NA,6,3,2,NA,2500
"171",1,4000,4,544,1,NA,NA,NA,1,2,1,5,2,2,42,3000
"172",1,3900,4,545,2,NA,NA,NA,1,2,1,5,2,1,42,3600
"173",1,3600,4,553,1,NA,NA,NA,1,1,1,5,3,2,46,3000
"174",1,3000,5,555,1,NA,NA,NA,2,3,2,5,2,2,52,3000
"175",1,6000,4,556,1,NA,NA,NA,1,6,1,5,2,2,47,3600
"176",1,4900,4,557,1,NA,NA,NA,1,1,1,5,3,2,45,3600
"177",NA,NA,4,558,2,NA,NA,NA,NA,NA,NA,6,3,1,NA,2800
"178",1,5000,4,561,1,NA,NA,NA,1,1,1,5,2,2,47,4000
"179",1,2800,4,562,1,NA,NA,NA,1,4,1,5,3,2,45,2500
"180",1,6000,5,564,2,NA,NA,NA,1,2,1,5,2,2,42,4000
"181",1,3800,5,565,2,NA,NA,NA,1,1,1,5,2,2,45,3500
"182",1,3000,4,567,1,NA,NA,NA,2,1,1,5,2,2,45,3000
"183",NA,NA,NA,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",1,5000,4,572,1,NA,NA,NA,1,1,1,5,2,2,45,4000
"185",1,2400,4,573,1,NA,NA,NA,1,1,1,5,2,2,42,2400
"186",1,2800,4,574,1,NA,NA,NA,1,1,1,5,4,2,43,2500
"187",1,3000,4,576,1,NA,NA,NA,1,0,1,5,2,2,43,2800
"188",NA,NA,NA,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",NA,NA,NA,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",1,3300,4,580,1,NA,NA,NA,1,4,1,5,2,2,45,3000
"191",NA,NA,4,582,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"192",2,300,4,583,1,NA,NA,NA,NA,0,5,5,4,2,67,2500
"193",NA,NA,NA,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",2,200,4,587,1,NA,NA,NA,2,3,2,5,2,2,41,2000
"195",1,4200,4,591,1,NA,NA,NA,1,1,1,5,2,2,50,3500
"196",1,3200,4,592,1,NA,NA,NA,1,1,1,5,2,2,45,2800
"197",NA,NA,4,593,1,NA,NA,NA,NA,NA,NA,6,3,2,NA,3400
"198",1,2800,4,597,1,NA,NA,NA,1,0,1,5,2,2,40,2000
"199",1,4000,5,599,1,NA,NA,NA,NA,4,5,5,2,2,36,3000
"200",1,3200,5,601,2,NA,NA,NA,1,1,1,5,2,2,43,3000
"201",1,3000,4,602,1,NA,NA,NA,1,0,1,5,2,2,42,2500
"202",NA,NA,4,604,2,NA,NA,NA,NA,NA,NA,6,3,1,NA,3000
"203",1,3600,4,606,2,NA,NA,NA,1,2,1,5,1,2,42,3000
"204",1,8000,4,609,2,NA,NA,NA,1,6,1,5,1,1,47,5000
"205",1,4400,4,611,2,NA,NA,NA,1,0,1,5,3,2,45,5000
"206",2,250,4,612,1,NA,NA,NA,NA,2,5,5,4,2,42,2500
"207",2,290,4,613,1,NA,NA,NA,1,0,1,5,2,2,44,2400
"208",NA,NA,4,614,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2800
"209",2,300,4,620,2,NA,NA,NA,1,4,1,5,1,1,40,5000
"210",2,290,4,623,2,NA,NA,NA,1,1,1,5,2,1,40,5000
"211",2,320,4,626,2,NA,NA,NA,1,6,1,5,1,2,42,5000
"212",2,350,4,628,2,NA,NA,NA,1,0,1,5,1,1,46,6000
"213",NA,NA,4,629,2,NA,NA,NA,NA,NA,NA,6,4,1,NA,2500
"214",NA,NA,4,636,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,3000
"215",2,500,5,651,2,NA,NA,NA,1,0,1,5,4,2,40,7000
"216",2,350,4,658,2,NA,NA,NA,1,1,1,5,2,2,40,5000
"217",1,4000,4,660,2,NA,NA,NA,1,3,1,5,1,2,60,4000
"218",2,220,4,661,1,NA,NA,NA,1,2,1,5,1,2,40,4000
"219",2,220,4,662,2,NA,NA,NA,1,0,1,5,2,2,40,4000
"220",2,270,4,663,2,NA,NA,NA,1,2,1,5,5,1,40,3000
"221",2,320,4,666,1,NA,NA,NA,1,0,1,5,2,2,40,3000
"222",NA,NA,4,667,1,4,2,5,NA,NA,NA,4,4,2,NA,NA
"223",2,250,4,668,1,NA,NA,NA,1,8,1,5,1,2,48,5000
"224",2,350,4,670,1,NA,NA,NA,1,6,1,5,1,2,42,5000
"225",2,400,4,677,1,NA,NA,NA,NA,5,4,5,1,2,40,5000
"226",NA,NA,NA,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",2,250,5,681,1,NA,NA,NA,1,2,1,5,1,2,40,5000
"228",2,250,4,682,1,NA,NA,NA,1,6,1,5,1,2,40,5000
"229",1,5000,4,688,2,NA,NA,NA,1,0,1,5,2,1,50,4000
"230",NA,NA,4,690,2,NA,NA,NA,NA,NA,NA,6,3,1,NA,3000
"231",1,3600,4,696,2,NA,NA,NA,1,0,1,5,2,2,41,4000
"232",2,400,4,697,1,NA,NA,NA,1,1,1,5,2,2,41,7000
"233",NA,NA,4,703,2,NA,NA,NA,NA,NA,NA,6,1,1,NA,2000
"234",2,300,5,705,2,NA,NA,NA,1,2,1,5,2,1,40,5000
"235",4,8,4,715,1,NA,NA,NA,2,6,2,5,2,2,60,3000
"236",1,3000,4,717,2,NA,NA,NA,2,0,1,5,1,2,40,3500
"237",2,250,4,719,2,NA,NA,NA,1,2,1,5,1,2,60,3000
"238",NA,NA,NA,721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",2,250,4,723,1,2,2,5,1,0,1,5,3,2,45,4800
"240",2,800,4,724,2,NA,NA,NA,1,0,1,5,2,1,44,8000
"241",2,250,4,727,1,NA,NA,NA,1,0,1,5,2,2,43,3600
"242",1,4000,4,729,2,NA,NA,NA,1,0,1,5,1,1,50,4000
"243",1,4800,4,732,1,NA,NA,NA,1,1,1,5,1,2,50,5000
"244",2,240,4,735,1,NA,NA,NA,1,0,1,5,1,2,48,4000
"245",NA,NA,4,737,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,1200
"246",NA,NA,4,738,2,NA,NA,NA,NA,NA,NA,6,1,1,NA,1500
"247",1,4000,4,741,1,NA,NA,NA,1,2,1,5,1,2,40,4500
"248",NA,NA,4,744,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"249",NA,NA,4,746,2,NA,NA,NA,NA,NA,NA,6,1,2,NA,2000
"250",2,250,4,747,1,NA,NA,NA,1,0,1,5,1,2,40,2000
"251",2,90,4,750,2,NA,NA,NA,NA,2,5,5,2,1,9,1200
"252",NA,NA,4,752,2,NA,NA,NA,NA,NA,NA,6,1,1,NA,2000
"253",NA,NA,4,760,1,3,1,5,NA,NA,NA,4,2,2,NA,NA
"254",2,500,4,766,2,NA,NA,NA,NA,0,4,5,1,1,50,6000
"255",1,2800,4,769,2,NA,NA,NA,1,3,1,5,1,1,45,3000
"256",1,4800,4,770,2,NA,NA,NA,1,0,1,5,1,1,40,5000
"257",NA,NA,4,771,2,NA,NA,NA,NA,NA,NA,6,1,1,NA,2400
"258",NA,NA,4,772,2,NA,NA,NA,NA,NA,NA,6,1,1,NA,3000
"259",1,5100,5,773,2,NA,NA,NA,1,0,1,5,1,2,45,6000
"260",1,3700,4,777,2,NA,NA,NA,1,0,1,5,2,2,40,3000
"261",1,3200,4,778,2,NA,NA,NA,1,0,1,5,2,1,40,3000
"262",2,200,4,779,1,NA,NA,NA,1,0,1,5,2,2,40,2400
"263",NA,NA,4,780,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2400
"264",1,2400,4,784,1,NA,NA,NA,1,0,1,5,2,2,40,2400
"265",1,2400,4,785,1,NA,NA,NA,1,1,1,5,2,2,40,2400
"266",1,3900,4,786,1,NA,NA,NA,1,1,1,5,2,2,40,3000
"267",1,2400,4,787,2,NA,NA,NA,1,4,1,5,2,2,40,2400
"268",1,2400,4,788,2,NA,NA,NA,1,0,1,5,2,2,40,2400
"269",1,4000,4,791,1,NA,NA,NA,1,1,1,5,2,2,40,3600
"270",NA,NA,5,792,1,4,1,5,NA,NA,NA,4,2,2,NA,NA
"271",2,350,4,793,2,NA,NA,NA,1,0,1,5,2,2,48,2000
"272",2,220,4,798,1,NA,NA,NA,1,1,1,5,3,2,40,1800
"273",2,230,4,799,1,NA,NA,NA,1,0,1,5,2,2,40,2000
"274",NA,NA,4,805,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2000
"275",NA,NA,NA,807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",NA,NA,NA,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",NA,NA,4,811,1,4,1,5,NA,NA,NA,4,2,2,NA,NA
"278",2,350,4,812,1,NA,NA,NA,1,1,1,5,1,2,40,2500
"279",2,210,4,814,1,NA,NA,NA,1,0,1,5,2,2,40,1500
"280",2,330,4,815,1,NA,NA,NA,1,0,1,5,2,2,40,2000
"281",2,250,4,816,1,NA,NA,NA,1,8,1,5,2,2,40,2000
"282",2,270,4,819,1,NA,NA,NA,1,0,1,5,2,2,40,2000
"283",NA,NA,5,820,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,2000
"284",2,250,4,822,1,NA,NA,NA,1,0,1,5,2,2,40,1500
"285",2,230,4,828,1,NA,NA,NA,1,3,1,5,2,2,40,1500
"286",NA,NA,4,829,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,2000
"287",NA,NA,5,833,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2500
"288",NA,NA,4,835,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,2000
"289",2,270,4,836,1,NA,NA,NA,1,1,1,5,2,2,40,2000
"290",2,9090908,5,846,2,NA,NA,NA,1,2,1,5,1,1,48,1700
"291",NA,NA,4,848,2,NA,NA,NA,NA,NA,NA,6,2,2,NA,1500
"292",2,340,4,854,1,NA,NA,NA,1,1,1,5,2,2,40,2000
"293",1,3000,5,855,2,NA,NA,NA,1,4,1,5,1,1,30,1200
"294",2,200,4,863,1,NA,NA,NA,1,8,1,5,2,2,40,1800
"295",NA,NA,NA,864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",1,5280,4,865,2,NA,NA,NA,1,1,1,5,1,1,45,5280
"297",2,500,4,873,1,NA,NA,NA,1,6,1,5,2,2,45,4000
"298",2,200,4,878,1,NA,NA,NA,1,2,1,5,1,2,40,9000
"299",1,4500,4,879,1,NA,NA,NA,1,1,1,5,1,2,55,3500
"300",2,250,4,882,2,NA,NA,NA,1,0,1,5,1,1,40,2500
"301",NA,NA,4,883,2,NA,NA,NA,NA,NA,NA,6,1,1,NA,4000
"302",2,300,5,884,2,NA,NA,NA,NA,9,5,5,2,1,50,3500
"303",2,200,5,885,2,NA,NA,NA,1,0,1,5,1,1,40,2000
"304",NA,NA,4,887,2,NA,NA,NA,NA,NA,NA,6,3,2,NA,3000
"305",1,4200,5,889,2,NA,NA,NA,1,0,1,5,1,2,40,3500
"306",2,200,4,890,2,NA,NA,NA,1,2,1,5,1,1,60,2000
"307",2,50,4,894,2,NA,NA,NA,2,6,2,5,1,1,35,1500
"308",2,320,4,895,2,NA,NA,NA,1,1,1,5,1,1,50,5000
"309",1,2200,4,902,1,NA,NA,NA,1,0,1,5,2,2,40,3000
"310",2,70,4,909,1,NA,NA,NA,2,5,2,5,2,2,48,1200
"311",1,3500,4,912,2,NA,NA,NA,1,6,1,5,4,1,55,3500
"312",1,7000,5,913,2,NA,NA,NA,1,1,1,5,1,1,45,4000
"313",1,4800,4,914,2,NA,NA,NA,1,6,1,5,2,1,54,2500
"314",NA,NA,NA,917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",2,200,4,919,1,NA,NA,NA,2,2,1,5,2,2,50,3000
"316",NA,NA,4,920,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,1800
"317",1,2640,4,921,1,NA,NA,NA,1,0,1,5,6,2,43,2600
"318",1,3300,4,923,2,NA,NA,NA,1,0,1,5,2,1,40,3240
"319",1,3800,4,932,1,NA,NA,NA,1,1,1,5,2,2,40,2000
"320",NA,NA,4,935,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,2100
"321",2,300,4,938,2,NA,NA,NA,1,2,1,5,1,1,40,2000
"322",1,2800,4,941,1,NA,NA,NA,1,4,1,5,2,2,120,3500
"323",NA,NA,4,942,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,3800
"324",1,3000,4,943,1,NA,NA,NA,1,2,1,5,2,2,46,4000
"325",2,180,4,945,1,4,3,5,1,1,1,5,3,2,40,1200
"326",NA,NA,4,947,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,3000
"327",1,3500,4,948,1,NA,NA,NA,1,0,1,5,1,2,40,1500
"328",2,350,4,952,2,NA,NA,NA,1,0,1,5,2,1,45,6800
"329",NA,NA,4,953,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,1500
"330",NA,NA,5,954,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,2500
"331",1,2400,4,955,1,NA,NA,NA,2,99,2,5,4,2,60,2500
"332",1,4300,5,957,1,NA,NA,NA,1,1,1,5,1,2,40,3000
